date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"10/18/2020, 00:00:00 +1100",Pedometer,2795.0,33.4,22.0,1714.0,660.0
"10/19/2020, 00:00:00 +1100",Pedometer,2310.0,13.6,7.0,1545.0,360.0
"10/20/2020, 00:00:00 +1100",Pedometer,3422.0,28.6,18.0,2100.0,600.0
"10/21/2020, 00:00:00 +1100",Pedometer,2124.0,19.2,12.0,1312.0,420.0
"10/22/2020, 00:00:00 +1100",Pedometer,2800.0,26.1,17.0,1740.0,540.0
"10/23/2020, 00:00:00 +1100",Pedometer,2346.0,22.6,15.0,1553.0,420.0
"10/24/2020, 00:00:00 +1100",Pedometer,6676.0,190.0,123.0,3937.0,4200.0
