Date,Hour,Steps
2020-10-16,0,5.0
2020-10-16,1,5.0
2020-10-16,2,6.0
2020-10-16,3,5.0
2020-10-16,4,5.0
2020-10-16,5,5.0
2020-10-16,6,5.0
2020-10-16,7,5.0
2020-10-16,8,6.0
2020-10-16,9,78.0
2020-10-16,10,172.0
2020-10-16,11,730.0
2020-10-16,12,11.0
2020-10-16,13,16.0
2020-10-16,14,18.0
2020-10-16,15,32.0
2020-10-16,16,44.0
2020-10-16,17,121.0
2020-10-16,18,20.0
2020-10-16,19,70.0
2020-10-16,20,46.0
2020-10-16,21,4.0
2020-10-16,22,7.0
2020-10-16,23,8.0
2020-10-17,0,8.0
2020-10-17,1,8.0
2020-10-17,2,8.0
2020-10-17,3,8.0
2020-10-17,4,8.0
2020-10-17,5,6.0
2020-10-17,6,0.0
2020-10-17,7,0.0
2020-10-17,8,0.0
2020-10-17,9,0.0
2020-10-17,10,0.0
2020-10-17,11,0.0
2020-10-17,12,0.0
2020-10-17,13,54.0
2020-10-17,14,61.0
2020-10-17,15,31.0
2020-10-17,16,31.0
2020-10-17,17,26.0
2020-10-17,18,16.0
2020-10-17,19,11.0
2020-10-17,20,18.0
2020-10-17,21,18.0
2020-10-17,22,18.0
2020-10-17,23,12.0
2020-10-18,0,6.0
2020-10-18,1,7.0
2020-10-18,2,6.0
2020-10-18,3,6.0
2020-10-18,4,6.0
2020-10-18,5,7.0
2020-10-18,6,6.0
2020-10-18,7,6.0
2020-10-18,8,7.0
2020-10-18,9,77.0
2020-10-18,10,641.0
2020-10-18,11,133.0
2020-10-18,12,361.0
2020-10-18,13,18.0
2020-10-18,14,180.0
2020-10-18,15,21.0
2020-10-18,16,1684.0
2020-10-18,17,964.0
2020-10-18,18,0.0
2020-10-18,19,128.0
2020-10-18,20,0.0
2020-10-18,21,56.0
2020-10-18,22,2.0
2020-10-18,23,1.0
2020-10-19,0,1.0
2020-10-19,1,1.0
2020-10-19,2,1.0
2020-10-19,3,1.0
2020-10-19,4,1.0
2020-10-19,5,1.0
2020-10-19,6,1.0
2020-10-19,7,0.0
2020-10-19,8,467.0
2020-10-19,9,304.0
2020-10-19,10,132.0
2020-10-19,11,51.0
2020-10-19,12,17.0
2020-10-19,13,149.0
2020-10-19,14,115.0
2020-10-19,15,3.0
2020-10-19,16,3.0
2020-10-19,17,4.0
2020-10-19,18,3.0
2020-10-19,19,59.0
2020-10-19,20,72.0
2020-10-19,21,19.0
2020-10-19,22,55.0
2020-10-19,23,2.0
2020-10-20,0,2.0
2020-10-20,1,2.0
2020-10-20,2,2.0
2020-10-20,3,3.0
2020-10-20,4,2.0
2020-10-20,5,2.0
2020-10-20,6,2.0
2020-10-20,7,110.0
2020-10-20,8,97.0
2020-10-20,9,0.0
2020-10-20,10,720.0
2020-10-20,11,0.0
2020-10-20,12,184.0
2020-10-20,13,8.0
2020-10-20,14,0.0
2020-10-20,15,0.0
2020-10-20,16,0.0
2020-10-20,17,0.0
2020-10-20,18,75.0
2020-10-20,19,100.0
2020-10-20,20,0.0
2020-10-20,21,47.0
2020-10-20,22,54.0
2020-10-20,23,0.0
2020-10-21,0,0.0
2020-10-21,1,0.0
2020-10-21,2,0.0
2020-10-21,3,0.0
2020-10-21,4,0.0
2020-10-21,5,0.0
2020-10-21,6,8.0
2020-10-21,7,0.0
2020-10-21,8,0.0
2020-10-21,9,20.0
2020-10-21,10,0.0
2020-10-21,11,0.0
2020-10-21,12,105.0
2020-10-21,13,111.0
2020-10-21,14,52.0
2020-10-21,15,0.0
2020-10-21,16,0.0
2020-10-21,17,0.0
2020-10-21,18,0.0
2020-10-21,19,82.0
2020-10-21,20,9.0
2020-10-21,21,0.0
2020-10-21,22,54.0
2020-10-21,23,0.0
2020-10-22,0,0.0
2020-10-22,1,0.0
2020-10-22,2,0.0
2020-10-22,3,0.0
2020-10-22,4,0.0
2020-10-22,5,0.0
2020-10-22,6,0.0
2020-10-22,7,0.0
2020-10-22,8,0.0
2020-10-22,9,0.0
2020-10-22,10,190.0
2020-10-22,11,80.0
2020-10-22,12,469.0
2020-10-22,13,171.0
2020-10-22,14,369.0
