Date,Hour,Steps
2018-01-09,0,27.0
2018-01-10,0,0.0
2018-01-11,0,9821.0
2018-01-12,0,199.0
2018-01-13,0,153.0
2018-01-14,0,845.0
2018-01-15,0,2647.0
2018-01-16,0,3030.0
2018-01-17,0,4149.0
2018-01-18,0,3469.0
2018-01-19,0,3138.0
2018-01-20,0,541.0
2018-01-21,0,628.0
2018-01-22,0,3980.0
2018-01-23,0,2067.0
2018-01-24,0,2405.0
2018-01-25,0,2148.0
2018-01-26,0,9608.0
2018-01-27,0,6181.0
2018-01-28,0,441.0
2018-01-29,0,4754.0
2018-01-30,0,2342.0
2018-01-31,0,3768.0
2018-02-01,0,3410.0
2018-02-02,0,5714.0
2018-02-03,0,136.0
2018-02-04,0,279.0
2018-02-05,0,5986.0
2018-02-06,0,2204.0
2018-02-07,0,6630.0
2018-02-08,0,3020.0
2018-02-09,0,7377.0
2018-02-10,0,198.0
2018-02-11,0,407.0
2018-02-12,0,2846.0
2018-02-13,0,3086.0
2018-02-14,0,3577.0
2018-02-15,0,3439.0
2018-02-16,0,2949.0
2018-02-17,0,706.0
2018-02-18,0,381.0
2018-02-19,0,3796.0
2018-02-20,0,3490.0
2018-02-21,0,3009.0
2018-02-22,0,3908.0
2018-02-23,0,5281.0
2018-02-24,0,6145.0
2018-02-25,0,347.0
2018-02-26,0,2926.0
2018-02-27,0,3702.0
2018-02-28,0,3371.0
2018-03-01,0,3510.0
2018-03-02,0,4815.0
2018-03-03,0,16.0
2018-03-04,0,388.0
2018-03-05,0,5991.0
2018-03-06,0,3823.0
2018-03-07,0,5314.0
2018-03-08,0,4051.0
2018-03-09,0,4492.0
2018-03-10,0,895.0
2018-03-11,0,4395.0
2018-03-12,0,3952.0
2018-03-13,0,3879.0
2018-03-14,0,3396.0
2018-03-15,0,3195.0
2018-03-16,0,3963.0
2018-03-17,0,2227.0
2018-03-18,0,151.0
2018-03-19,0,3556.0
2018-03-20,0,3352.0
2018-03-21,0,4240.0
2018-03-22,0,2571.0
2018-03-23,0,2366.0
2018-03-24,0,127.0
2018-03-25,0,464.0
2018-03-26,0,1770.0
2018-03-27,0,2464.0
2018-03-28,0,3790.0
2018-03-29,0,4490.0
2018-03-30,0,803.0
2018-03-31,0,270.0
2018-04-01,0,376.0
2018-04-02,0,60.0
2018-04-03,0,2808.0
2018-04-04,0,140.0
2018-04-05,0,2917.0
2018-04-06,0,2149.0
2018-04-07,0,142.0
2018-04-08,0,624.0
2018-04-09,0,2064.0
2018-04-10,0,183.0
2018-04-11,0,1895.0
2018-04-12,0,3751.0
2018-04-13,0,3573.0
2018-04-14,0,3498.0
2018-04-15,0,68.0
2018-04-16,0,441.0
2018-04-17,0,1530.0
2018-04-18,0,2733.0
2018-04-19,0,3336.0
2018-04-20,0,3411.0
2018-04-21,0,7891.0
2018-04-22,0,168.0
2018-04-23,0,2171.0
2018-04-24,0,3039.0
2018-04-25,0,4090.0
2018-04-26,0,2654.0
2018-04-27,0,3034.0
2018-04-28,0,514.0
2018-04-29,0,554.0
2018-04-30,0,9094.0
2018-05-01,0,4682.0
2018-05-02,0,4344.0
2018-05-03,0,3936.0
2018-05-04,0,5916.0
2018-05-05,0,938.0
2018-05-06,0,82.0
2018-05-07,0,2912.0
2018-05-08,0,2666.0
2018-05-09,0,4425.0
2018-05-10,0,3436.0
2018-05-11,0,5481.0
2018-05-12,0,2854.0
2018-05-13,0,409.0
2018-05-14,0,5107.0
2018-05-15,0,2103.0
2018-05-16,0,2793.0
2018-05-17,0,3356.0
2018-05-18,0,1962.0
2018-05-19,0,1460.0
2018-05-20,0,3652.0
2018-05-21,0,4499.0
2018-05-22,0,1785.0
2018-05-23,0,2476.0
2018-05-24,0,3815.0
2018-05-25,0,5392.0
2018-05-26,0,11216.0
2018-05-27,0,1552.0
2018-05-28,0,4339.0
2018-05-29,0,4222.0
2018-05-30,0,4026.0
2018-05-31,0,3459.0
2018-06-01,0,5634.0
2018-06-02,0,743.0
2018-06-03,0,741.0
2018-06-04,0,4683.0
2018-06-05,0,3527.0
2018-06-06,0,2464.0
2018-06-07,0,2512.0
2018-06-08,0,3346.0
2018-06-09,0,339.0
2018-06-10,0,393.0
2018-06-11,0,156.0
2018-06-12,0,2000.0
2018-06-13,0,3868.0
2018-06-14,0,3917.0
2018-06-15,0,5553.0
2018-06-16,0,183.0
2018-06-17,0,591.0
2018-06-18,0,3358.0
2018-06-19,0,2811.0
2018-06-20,0,3156.0
2018-06-21,0,2851.0
2018-06-22,0,6594.0
2018-06-23,0,217.0
2018-06-24,0,5411.0
2018-06-25,0,4094.0
2018-06-26,0,3526.0
2018-06-27,0,3834.0
2018-06-28,0,5465.0
2018-06-29,0,3027.0
2018-06-30,0,290.0
2018-07-01,0,630.0
2018-07-02,0,2085.0
2018-07-03,0,651.0
2018-07-04,0,3367.0
2018-07-05,0,3541.0
2018-07-06,0,614.0
2018-07-07,0,4781.0
2018-07-08,0,1360.0
2018-07-09,0,4246.0
2018-07-10,0,4262.0
2018-07-11,0,2641.0
2018-07-12,0,2695.0
2018-07-13,0,1777.0
2018-07-14,0,10206.0
2018-07-15,0,981.0
2018-07-16,0,3051.0
2018-07-17,0,3416.0
2018-07-18,0,439.0
2018-07-19,0,3083.0
2018-07-20,0,646.0
2018-07-21,0,507.0
2018-07-22,0,1107.0
2018-07-23,0,8495.0
2018-07-24,0,2134.0
2018-07-25,0,3068.0
2018-07-26,0,4177.0
2018-07-27,0,5367.0
2018-07-28,0,393.0
2018-07-29,0,897.0
2018-07-30,0,7858.0
2018-07-31,0,2548.0
2018-08-01,0,1303.0
2018-08-02,0,2390.0
2018-08-03,0,5338.0
