date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"10/16/2020, 00:00:00 +0800",Pedometer,1424.0,13.2,8.0,898.0,240.0
"10/17/2020, 00:00:00 +0800",Pedometer,342.0,1.2,1.0,201.0,0.0
"10/18/2020, 00:00:00 +0800",Pedometer,4323.0,62.3,45.0,2981.0,840.0
"10/19/2020, 00:00:00 +0800",Pedometer,1462.0,10.9,7.0,902.0,180.0
"10/20/2020, 00:00:00 +0800",Pedometer,1410.0,20.0,12.0,867.0,360.0
"10/21/2020, 00:00:00 +0800",Pedometer,441.0,4.7,3.0,291.0,60.0
"11/09/2020, 00:00:00 +0800",Pedometer,0.0,0.0,0.0,0.0,0.0
