date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"02/14/2017, 00:00:00 +0800",Pedometer,8696.0,0.0,0.0,5197.0,0.0
"02/15/2017, 00:00:00 +0800",Pedometer,9663.0,0.0,0.0,5876.0,0.0
"02/16/2017, 00:00:00 +0800",Pedometer,8260.0,0.0,0.0,5085.0,0.0
"02/17/2017, 00:00:00 +0800",Pedometer,19063.0,0.0,0.0,11056.0,0.0
"02/18/2017, 00:00:00 +0800",Pedometer,2159.0,0.0,0.0,1295.0,0.0
"02/19/2017, 00:00:00 +0800",Pedometer,4841.0,0.0,0.0,2852.0,0.0
"02/20/2017, 00:00:00 +0800",Pedometer,978.0,0.0,0.0,696.0,0.0
"02/21/2017, 00:00:00 +0800",Pedometer,7907.0,0.0,0.0,4734.0,0.0
"02/22/2017, 00:00:00 +0800",Pedometer,12487.0,0.0,0.0,7246.0,0.0
"02/23/2017, 00:00:00 +0800",Pedometer,9279.0,0.0,0.0,5640.0,0.0
"02/24/2017, 00:00:00 +0800",Pedometer,20002.0,0.0,0.0,11842.0,0.0
"02/25/2017, 00:00:00 +0800",Pedometer,22757.0,0.0,0.0,13499.0,0.0
"02/26/2017, 00:00:00 +0800",Pedometer,23421.0,0.0,0.0,14280.0,0.0
"02/27/2017, 00:00:00 +0800",Pedometer,22959.0,0.0,0.0,14347.0,0.0
"02/28/2017, 00:00:00 +0800",Pedometer,20572.0,0.0,0.0,12655.0,0.0
"03/01/2017, 00:00:00 +0800",Pedometer,8786.0,0.0,0.0,5458.0,0.0
"03/02/2017, 00:00:00 +0800",Pedometer,3980.0,0.0,0.0,2554.0,0.0
"03/03/2017, 00:00:00 +0800",Pedometer,9991.0,0.0,0.0,5937.0,0.0
"03/04/2017, 00:00:00 +0800",Pedometer,759.0,0.0,0.0,492.0,0.0
"03/05/2017, 00:00:00 +0800",Pedometer,4462.0,0.0,0.0,2710.0,0.0
"03/06/2017, 00:00:00 +0800",Pedometer,4774.0,0.0,0.0,2810.0,0.0
"03/07/2017, 00:00:00 +0800",Pedometer,4067.0,0.0,0.0,2388.0,0.0
"03/08/2017, 00:00:00 +0800",Pedometer,2714.0,0.0,0.0,1604.0,0.0
"03/09/2017, 00:00:00 +0800",Pedometer,8381.0,0.0,0.0,5048.0,0.0
"03/10/2017, 00:00:00 +0800",Pedometer,11113.0,0.0,0.0,6558.0,0.0
