com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
13948,5230f73f-c79d-4f60-a162-dd67a6bca4c4.binning_data.json,7207159,6000,644,2019-03-11 08:16:56.286,com.sec.android.app.shealth,2019-03-10 16:20:33.748,5230f73f-c79d-4f60-a162-dd67a6bca4c4.source_info.json,1.5316509,11038.852,601.8098,13304,VfS0qUERdZ,com.sec.android.app.shealth,0,5230f73f-c79d-4f60-a162-dd67a6bca4c4.achievement.json,5230f73f-c79d-4f60-a162-dd67a6bca4c4,1552262400000,
6757,d0bb7961-19fd-4cb9-8241-8c02378b9aa2.binning_data.json,4121262,6000,0,2019-02-09 16:00:00.495,com.sec.android.app.shealth,2019-02-09 16:00:00.495,,1.6666665,5027.64,275.09,6757,NakFKIhnVg,com.sec.android.app.shealth,0,d0bb7961-19fd-4cb9-8241-8c02378b9aa2.achievement.json,d0bb7961-19fd-4cb9-8241-8c02378b9aa2,1549670400000,
8444,6b651317-3fad-4bb3-bb13-e8de198f57af.binning_data.json,4393283,6000,68,2019-03-14 09:21:02.451,com.sec.android.app.shealth,2019-03-13 16:12:42.164,6b651317-3fad-4bb3-bb13-e8de198f57af.source_info.json,1.4743779,6477.3594,351.45996,8376,VfS0qUERdZ,com.sec.android.app.shealth,0,6b651317-3fad-4bb3-bb13-e8de198f57af.achievement.json,6b651317-3fad-4bb3-bb13-e8de198f57af,1552521600000,
13283,afdba69c-83de-42ad-915f-cab1d963f8c3.binning_data.json,7524598,6000,0,2019-03-16 13:00:00.768,com.sec.android.app.shealth,2019-03-16 13:00:00.768,,2.3333333,10062.719,538.6499,13283,NakFKIhnVg,com.sec.android.app.shealth,7472,afdba69c-83de-42ad-915f-cab1d963f8c3.achievement.json,afdba69c-83de-42ad-915f-cab1d963f8c3,1552694400000,
3898,8c4067b4-fae5-4134-b987-b99e64327717.binning_data.json,2153371,6000,69,2019-02-12 16:00:00.489,com.sec.android.app.shealth,2019-02-12 16:00:00.489,,4.0000005,2992.46,166.17,3829,NakFKIhnVg,com.sec.android.app.shealth,0,8c4067b4-fae5-4134-b987-b99e64327717.achievement.json,8c4067b4-fae5-4134-b987-b99e64327717,1549929600000,
4968,a00bda83-9ce6-4298-b7fb-ee1f8879edde.binning_data.json,2673395,6000,87,2019-02-15 16:10:33.190,com.sec.android.app.shealth,2019-02-15 16:00:00.565,,5.027777,3833.1,210.16,4881,NakFKIhnVg,com.sec.android.app.shealth,0,a00bda83-9ce6-4298-b7fb-ee1f8879edde.achievement.json,a00bda83-9ce6-4298-b7fb-ee1f8879edde,1550188800000,
18706,02ef54f4-090b-459f-a1e7-8e12de0793a8.binning_data.json,9817506,6000,46,2019-02-20 00:52:08.465,com.sec.android.app.shealth,2019-02-18 13:30:26.575,02ef54f4-090b-459f-a1e7-8e12de0793a8.source_info.json,1.4391229,14128.598,758.80994,18660,VfS0qUERdZ,com.sec.android.app.shealth,0,02ef54f4-090b-459f-a1e7-8e12de0793a8.achievement.json,02ef54f4-090b-459f-a1e7-8e12de0793a8,1550534400000,
6204,293facec-0767-449f-9a4c-597504a56682.binning_data.json,3591417,6000,0,2019-03-19 12:07:14.894,com.sec.android.app.shealth,2019-03-18 22:34:08.868,293facec-0767-449f-9a4c-597504a56682.source_info.json,1.2834598,4609.4395,256.03998,6204,VfS0qUERdZ,com.sec.android.app.shealth,0,293facec-0767-449f-9a4c-597504a56682.achievement.json,293facec-0767-449f-9a4c-597504a56682,1552953600000,
19032,e118f4ce-3b4e-49f9-b1d2-002d09879e82.binning_data.json,11287707,6000,1,2019-02-20 13:00:00.635,com.sec.android.app.shealth,2019-02-20 13:00:00.635,,2.3333333,14298.05,770.13995,19031,NakFKIhnVg,com.sec.android.app.shealth,4554,e118f4ce-3b4e-49f9-b1d2-002d09879e82.achievement.json,e118f4ce-3b4e-49f9-b1d2-002d09879e82,1550620800000,
16771,07bf7ece-92a7-4bf9-9c03-8ade2a5ac22e.binning_data.json,8886365,6000,12,2019-03-22 12:58:33.718,com.sec.android.app.shealth,2019-03-22 01:59:30.058,07bf7ece-92a7-4bf9-9c03-8ade2a5ac22e.source_info.json,1.4541839,12922.41,686.31995,16759,VfS0qUERdZ,com.sec.android.app.shealth,0,07bf7ece-92a7-4bf9-9c03-8ade2a5ac22e.achievement.json,07bf7ece-92a7-4bf9-9c03-8ade2a5ac22e,1553212800000,
1691,2d82abe5-6e61-4e92-a3c5-bde0fa626b13.binning_data.json,953018,6000,4,2019-02-07 15:34:26.489,com.sec.android.app.shealth,2019-02-07 00:35:01.979,2d82abe5-6e61-4e92-a3c5-bde0fa626b13.source_info.json,1.3310032,1268.47,71.2,1687,VfS0qUERdZ,com.sec.android.app.shealth,0,2d82abe5-6e61-4e92-a3c5-bde0fa626b13.achievement.json,2d82abe5-6e61-4e92-a3c5-bde0fa626b13,1549497600000,
13165,1f1e89a3-538e-46a9-84fb-e419f415dda5.binning_data.json,7024720,6000,195,2019-02-22 13:03:59.985,com.sec.android.app.shealth,2019-02-22 13:00:00.516,,2.8196588,10057.27,558.38995,12970,NakFKIhnVg,com.sec.android.app.shealth,2375,1f1e89a3-538e-46a9-84fb-e419f415dda5.achievement.json,1f1e89a3-538e-46a9-84fb-e419f415dda5,1550793600000,
6750,a61aeb34-f5f7-4bfe-8a86-df8396df6972.binning_data.json,3425665,6000,166,2019-03-26 13:00:01.123,com.sec.android.app.shealth,2019-03-24 13:31:49.574,a61aeb34-f5f7-4bfe-8a86-df8396df6972.source_info.json,1.5370563,5265.4404,284.63995,6584,VfS0qUERdZ,com.sec.android.app.shealth,0,a61aeb34-f5f7-4bfe-8a86-df8396df6972.achievement.json,a61aeb34-f5f7-4bfe-8a86-df8396df6972,1553472000000,
7491,77710aae-cbcf-48c8-af04-b7ce3bce45fa.binning_data.json,4309361,6000,38,2019-02-10 15:05:14.968,com.sec.android.app.shealth,2019-02-09 17:35:02.098,77710aae-cbcf-48c8-af04-b7ce3bce45fa.source_info.json,1.323493,5703.41,315.63,7453,VfS0qUERdZ,com.sec.android.app.shealth,0,77710aae-cbcf-48c8-af04-b7ce3bce45fa.achievement.json,77710aae-cbcf-48c8-af04-b7ce3bce45fa,1549756800000,
16066,251054d7-a3cb-49be-8d8e-683992061788.binning_data.json,8579543,6000,5,2019-03-28 13:00:01.191,com.sec.android.app.shealth,2019-03-27 13:35:01.043,251054d7-a3cb-49be-8d8e-683992061788.source_info.json,1.4327312,12292.18,653.05,16061,VfS0qUERdZ,com.sec.android.app.shealth,0,251054d7-a3cb-49be-8d8e-683992061788.achievement.json,251054d7-a3cb-49be-8d8e-683992061788,1553731200000,
7036,185543ed-1aa1-4bee-b40e-4b079cfdc41d.binning_data.json,4379731,6000,1,2019-03-31 12:05:24.792,com.sec.android.app.shealth,2019-03-30 13:24:23.020,185543ed-1aa1-4bee-b40e-4b079cfdc41d.source_info.json,1.2023956,5266.17,287.49,7035,VfS0qUERdZ,com.sec.android.app.shealth,0,185543ed-1aa1-4bee-b40e-4b079cfdc41d.achievement.json,185543ed-1aa1-4bee-b40e-4b079cfdc41d,1553990400000,
8548,82c1dfbb-579b-4f8e-8391-5435debbdb51.binning_data.json,4810468,6000,4,2019-02-25 13:00:00.767,com.sec.android.app.shealth,2019-02-25 13:00:00.767,,1.8611109,6442.63,350.05997,8544,NakFKIhnVg,com.sec.android.app.shealth,2413,82c1dfbb-579b-4f8e-8391-5435debbdb51.achievement.json,82c1dfbb-579b-4f8e-8391-5435debbdb51,1551052800000,
5265,2a5420df-a9eb-4979-bc28-82dc99ed7828.binning_data.json,2835078,6000,0,2019-04-08 14:00:01.077,com.sec.android.app.shealth,2019-04-02 16:26:00.217,2a5420df-a9eb-4979-bc28-82dc99ed7828.source_info.json,1.4329444,4062.51,213.28,5265,VfS0qUERdZ,com.sec.android.app.shealth,0,2a5420df-a9eb-4979-bc28-82dc99ed7828.achievement.json,2a5420df-a9eb-4979-bc28-82dc99ed7828,1554249600000,
8931,87149482-78b4-4141-adf2-05d7161fa375.binning_data.json,4976146,6000,5,2019-02-13 15:50:23.510,com.sec.android.app.shealth,2019-02-12 16:19:46.493,87149482-78b4-4141-adf2-05d7161fa375.source_info.json,1.374029,6837.37,362.31,8926,VfS0qUERdZ,com.sec.android.app.shealth,0,87149482-78b4-4141-adf2-05d7161fa375.achievement.json,87149482-78b4-4141-adf2-05d7161fa375,1550016000000,
8332,9c246c78-8951-4a36-9e59-8d75c022cc2a.binning_data.json,4567150,6000,0,2019-04-11 14:00:00.786,com.sec.android.app.shealth,2019-04-05 14:46:59.649,9c246c78-8951-4a36-9e59-8d75c022cc2a.source_info.json,1.3915721,6355.52,340.77,8332,VfS0qUERdZ,com.sec.android.app.shealth,0,9c246c78-8951-4a36-9e59-8d75c022cc2a.achievement.json,9c246c78-8951-4a36-9e59-8d75c022cc2a,1554508800000,
4278,ac069bbf-a7b1-46f7-b3dc-88bd5a58d84f.binning_data.json,2274214,6000,4,2019-02-28 13:00:00.708,com.sec.android.app.shealth,2019-02-28 13:00:00.708,,1.7709863,3267.87,174.56998,4274,NakFKIhnVg,com.sec.android.app.shealth,1060,ac069bbf-a7b1-46f7-b3dc-88bd5a58d84f.achievement.json,ac069bbf-a7b1-46f7-b3dc-88bd5a58d84f,1551312000000,
8152,5baaed27-29d2-4bd7-a7f2-5f8632ba5388.binning_data.json,4409687,6000,1,2019-04-09 10:15:02.521,com.sec.android.app.shealth,2019-04-08 15:08:52.564,5baaed27-29d2-4bd7-a7f2-5f8632ba5388.source_info.json,1.3846674,6105.95,335.69998,8151,VfS0qUERdZ,com.sec.android.app.shealth,0,5baaed27-29d2-4bd7-a7f2-5f8632ba5388.achievement.json,5baaed27-29d2-4bd7-a7f2-5f8632ba5388,1554768000000,
